"N","CPMS","Denominacion_Procedimientos","II_NIVEL","III _NIVEL"
257,"22318","Tratamiento abierto y/o reducción de fractura de apofisis odontoides y/o dislocadura (s) (incluyendo apofisis odontoides), aproximación anterior, Colocación de Fijación interna; sin injerto","341.7","341.81"
258,"22319","Tratamiento abierto y/o reducción de fractura de apófisis odontoides y/o dislocadura (s) (incluyendo apófisis odontoides), aproximación anterior, colocación de fijación interna; con injerto","1090.48","1090.48"
259,"22325","Tratamiento abierto y/o reducción de fracturas o dislocaciones vertebrales, abordaje posterior, fractura de una sola vértebra, o dislocacion de un solo segmento; lumbar","357.57","357.72"
260,"22326","Tratamiento abierto y/o reducción de fracturas o dislocaciones vertebrales, abordaje posterior, fractura de una sola vértebra, o dislocación de un solo segmento; cervical","1090.48","1090.48"
261,"22327","Tratamiento abierto y/o reducción de fracturas o dislocaciones vertebrales, abordaje posterior, fractura de una sola vértebra, o dislocación de un solo segmento; torácico","1090.48","1090.48"
262,"22328","Tratamiento abierto y/o reducción de fracturas o dislocaciones vertebrales, abordaje posterior, fractura de una sola vértebra, o dislocación de un solo segmento; cada vértebra fracturada o segmento dislocado adicionales. (anote separadamente además del código del procedimiento principal)","1090.48","1090.48"
263,"22505","Manipulacion de columna con necesidad de anestesia, cualquier región",N/C,"123.94"
264,"22548","Artrodesis, técnicas transoral anterior o extraoral anterior, clivus -Cl -C2 (atlas-axis), con o sin Escisión de apofisis odontoides","374.39","375.06"
265,"22804","Artrodesis posterior, por deFormación de columna, con o sin yeso; de 13 o más segmentos vertebrales","374.39","375.06"
266,"22840","Instrumentacion posterior no segmentaria (p ej técnica única de varilla de Harrington, Fijación de pedículo a través de 1 interespaciom Fijación con tornillo transarticular atlantoaxial, tendido de alambre sublaminar en C1, Fijación de tornillo en faceta) (registrar separadamente además del código para el procedimiento primario)",N/C,"334.07"
267,"22841",Fijación interna de la columna mediante tendido de alambre de las apófisis espinosas (registrar separadamente además del código para el procedimiento primario),N/C,"752.71"
268,"22842","Instrumentacion segmentaria posterior (p ej Fijación al pedículo, varillas dobles con varios ganchos y alambres sublaminares); de 3 a 6 segmentos vertebrales (registrar separadamente además del código para el procedimiento primario)",N/C,"289.37"
269,"22843","Instrumentación segmentaria posterior (p. ej. fijación al pedículo, varillas dobles con varios ganchos y alambres sublaminares); de 7 a 12 segmentos vertebrales. (registrar por separado adicionalmente al código del procedimiento primario)",N/C,"1090.48"
270,"22844","Instrumentación segmentaria posterior (p. ej. fijación al pedículo, varillas dobles con varios ganchos y alambres sublaminares); de 13 o más segmentos vertebrales. Registrar por separado adicionalmente al código del procedimiento primario",N/C,"1090.48"
272,"22850",Remoción de instrumentacion no segmentaria posterior (p ej varilla de Harrington),"196.5","196.59"
274,"22852",Remoción de instrumentacion segmentaria posterior,"196.5","196.59"
275,"23000",Extirpación abierta de depositos calcáreos subdeltoideos,"251.17","251.27"
276,"23030","Incisión y drenaje, región del hombro; absceso profundo o hematoma","93.29","93.38"
277,"23040","Artrotomía, articulación glenohumeral, incluyendo Exploración, drenaje, o Extirpación de cuerpo extraño","263.24","263.39"
271,"22848",Fijación pélvica (unión del extremo caudal de la instrumentación a estructuras óseas de la pelvis)que no sea el sacro (registrar separadamente además del código del procedimiento primario),N/C,"752.71"
273,"22851","Aplicación de dispositivo biomecánico intervertebral (p. ej. jaulas metálicas, metilmetacrilato) para defectos vertebrales o de interespacio (registrar separadamente además del código para el procedimiento primario)",N/C,"1393.52"
278,"23044","Artrotomía, acromioclavicular, articulación esternoclavicular incluyendo Exploración, drenaje, o Extirpación de cuerpo extraño","263.24","263.39"
279,"23077","Resección radical de tumor (p. ej. sarcoma), tejido blando de región del hombro; menos de 5.0 cm",N/C,"359.71"
280,"23078","Resección radical de tumor (p. ej. sarcoma), tejido blando de hombro; 5.0 cm o más",N/C,"359.71"
281,"23120",Claviculectomía; parcial,"345.67","345.78"
282,"23130","Acromioplastía o acromionectomía, parcial, con o sin liberación del ligamento coracoacromial","263.24","263.39"
283,"23140",Escisión o legrado de quiste óseo o tumor benigno de clavícula o escápula,"177.1","177.76"
284,"23170","Secuestrectomía (p ej para osteomielitis o absceso óseo), clavícula","259.21","259.35"
285,"23174","Secuestrectomía (p ej para osteomielitis o absceso óseo), cabeza o cuello quirúrgico del húmero","320.02","320.89"
286,"23180","Escisión parcial (craterizacion, saucerizacion, o diafisectomía) hueso (p ej osteomielitis), clavícula","259.21","259.35"
287,"23190","Osteotomía de escápula, parcial (p ej ángulo medial superior)","296.26","297.11"
288,"23200",Resección radical de tumor; clavícula,"375.17","375.77"
289,"23220","Resección radical de tumor óseo, húmero proximal","357.57","357.72"
290,"23395","Transferencia de músculo, cualquier tipo, hombro o brazo; uno solo","357.57","357.72"
291,"23405","Tenotomía, región del hombro; un solo tendón","251.17","251.27"
292,"23410",Corrección abierta de ruptura de manguito músculotendinoso (p ej rotador del hombro); agudo,"263.24","263.39"
293,"23415","Liberación de ligamento coracoacromial, con o sin acromioplastía","204.68","204.8"
294,"23430",Tenodesis del tendón largo del bíceps,"148.05","148.18"
295,"23440",Resección o trasplante del tendón largo del bíceps,"267.26","267.43"
296,"23450","Capsulorrafia, anterior; procedimiento de Putti-Platt u Operación tipo Magnuson","349.64","349.76"
297,"23465","Capsulorrafia, articulación glenohumeral, posterior, con o sin bloqueo óseo","349.64","349.76"
298,"23470",Artroplastía articulación glenohumeral; hemiartroplastía,"349.83","349.98"
299,"23480","Osteotomía, clavícula, con o sin Fijación interna","273.74","274.4"
300,"23491","Tratamiento profiláctico (uso de clavos, clavijas, placas o alambre) con o sin metiImetacrilato; húmero proximal",N/C,"906.8"
301,"23500",Tratamiento cerrado de fractura clavicular; sin manipulacion,"23.31","23.32"
302,"23515","Tratamiento abierto de fractura clavicular, con o sin Fijación interna","197.1","197.21"
303,"23540",Tratamiento cerrado de dislocacion acromioclavicular; sin manipulacion,"23.31","23.32"
304,"23545",Tratamiento cerrado de dislocacion acromioclavicular; con manipulacion,"23.49","23.51"
305,"23585","Tratamiento abierto de fractura escapular (cuerpo, cavidad glenoide o acromion) con o sin Fijación interna","259.21","259.35"
306,"23600",Tratamiento cerrado de fractura del húmero proximal (cuello quirúrgico o anatómico); sin manipulación,"65.83","65.83"
307,"23605","Tratamiento cerrado de fractura del húmero proximal (cuello quirúrgico o anatomico); con manipulacion, con o sin traccion esquelética","47.28","47.29"
308,"23615","Tratamiento abierto de fractura del húmero proximal (cuello quirúrgico o anatomico), incluye Fijación interna, cuando se realice, con Reparación de tuberosidades, cuando se realice","259.21","259.35"
309,"23616","Tratamiento abierto de fractura del húmero proximal (cuello quirúrgico o anatómico), con o sin fijación interna o externa, con o sin corrección de tuberosidades; con reemplazo prostético del húmero proximal","1090.48","1090.48"
310,"23650","Tratamiento cerrado de dislocación del hombro, con manipulación; sin anestesia","71.82","71.82"
311,"23655","Tratamiento cerrado de dislocación del hombro, con manipulación; con anestesia","71.82","71.82"
312,"23660",Tratamiento abierto de dislocacion aguda del hombro,"259.21","259.35"
313,"23800","Artrodesis, articulación glenohumeral","349.64","349.76"
314,"23900",Amputación intertoracoescapular (cuarto delantero),N/C,"351.97"
315,"23920",Desarticulación del hombro,"349.83","349.98"
316,"24000","Artrotomía codo, incluyendo Exploración, drenaje o Extirpación de cuerpo extraño","77.82","77.82"
317,"24075","Escisión, tumor, parte blanda de brazo o región del codo; subcutáneo; menos de 3.0 cm","132.51","133.29"
318,"24077","Resección radical de tumor (p. ej. sarcoma), tejido blando de brazo o región del codo; menos de 5.0 cm",N/C,"226.7"
319,"24079","Resección radical de tumor (p. ej. sarcoma), tejido blando de brazo o codo, 5.0 cm o mayor",N/C,"226.7"
320,"24105","Escisión, bolsa del olecranon","122.24","122.64"
321,"24110","Escisión o legrado de quiste óseo o tumor benigno, húmero","185.1","185.94"
322,"24130","Escisión, cabeza del radio","193.1","194.12"
323,"24134","Secuestrectomía (p ej por osteomielitis o absceso óseo), diáfisis o húmero distal","191.58","191.73"
324,"24140","Escisión parcial (craterizacion, saucerizacion, o diafisectomía) hueso (p ej osteomielitis), húmero","185.1","185.94"
325,"24145","Escisión parcial (craterizacion, saucerizacion, o diafisectomía) hueso (p ej osteomielitis), cabeza o cuello del radio","185.1","185.94"
326,"24147","Escisión parcial (craterizacion, saucerizacion, o diafisectomía) hueso (p ej osteomielitis), apofisis olecraneana","185.1","185.94"
327,"24149","Resección radical de cápsula, tejido blando y hueso heterotopico, codo, con Liberación de contractura (procedimiento separado)","357.57","357.72"
328,"24150","Resección radical de tumor, diáfisis o húmero distal","357.57","357.72"
329,"24155",Resección de articulación del codo (artrectomía),"345.67","345.78"
330,"24200","Extirpación de cuerpo extraño, brazo o región del codo; subcutáneo","76.54","76.67"
331,"24201","Extirpación de cuerpo extraño, brazo o región del codo; profundo (subfascial o intramuscular)","141","142"
332,"24301","Transferencia de músculo o tendón, cualquier tipo, brazo o región del codo, uno solo (excluyendo24320-24331)","357.57","357.72"
333,"24305","Alargamiento de tendón, brazo o codo, cada tendón","141","142"
334,"24310","Tenotomía, abierta, desde el codo al hombro, cada tendón","174.37","174.56"
335,"24320","Tenoplastia, con transferencia de músculo, con o sin injerto libre, desde el codo al hombro, una sola (procedimiento de Seddon-Brookes)","283.36","283.58"
336,"24330","Flexor-plastía, codo (p ej avance de Steindler)","185.1","185.94"
337,"24340",Tenodesis del tendón del bíceps a nivel del codo (procedimiento separado),"173.61","173.79"
338,"24342","Reinserción de tendón roto del bíceps o tríceps, distal, con o sin injerto tendinoso","259.21","259.35"
339,"24350","Fasciotomía lateral o medial (p ej ""codo de tenista"" o epicondilitis)","171.85","171.99"
340,"24360","Artroplastía, codo; con membrana (p ej fascial)","278.25","279.12"
341,"24400","Osteotomía, húmero, con o sin Fijación interna","188.12","188.85"
342,"24420","Osteoplastía, húmero (p ej acortamiento o alargamiento) (excluyendo 64876)","357.57","357.72"
343,"24470","Paro hemiepifisario (p ej cúbito varo o valgo, húmero distal)","232.82","232.97"
344,"24495","Fasciotomía de descompresión, antebrazo, con Exploración de la arteria braquial","171.85","171.99"
345,"24500",Tratamiento cerrado de fractura del diáfisis del húmero; sin manipulación,"65.83","65.83"
346,"24505","Tratamiento cerrado de fractura del diáfisis del húmero; con manipulación, con o sin tracción esquelética","71.82","71.82"
347,"24515","Tratamiento abierto de fractura de diáfisis del húmero con placa/tornillos, con o sin cerclaje","193.1","194.12"
348,"24516","Tratamiento de fractura de diáfisis del húmero, con inserción de implante intramedular, con o sin cerclaje y/o tornillos fijadores","1090.48","1090.48"
349,"24530","Tratamiento cerrado de fractura humeral supracondilar o transcondilar, con o sin extensión intercondilar; sin manipulación","65.83","65.83"
350,"24535","Tratamiento cerrado de fractura humeral supracondilar o transcondilar, con o sin extensión intercondilar; con manipulación, con o sin tracción de piel o tracción esquelética","71.82","71.82"
351,"24538","Fijación esquelética percutánea para fractura humeral supracondilar o transcondilar, con o sin extension intercondilar","132.51","133.29"
352,"24545","Tratamiento abierto de fractura humeral supracondilar o transcondilar, con o sin Fijación interna o externa; sin extension intercondilar","232.82","232.97"
353,"24546","Tratamiento abierto de fractura humeral supracondilar o transcondilar, con o sin fijación interna o externa; con extensión intercondilar","1090.48","1090.48"
354,"24560","Tratamiento cerrado de fractura humeral epicondilar, medial o lateral; sin manipulación","65.83","65.83"
355,"24565","Tratamiento cerrado de fractura humeral epicondilar, medial o lateral; con manipulación","71.82","71.82"
356,"24566","Fijación esquelética percutánea de fractura humeral epicondilar, medial o lateral, con manipulación","752.71","752.71"
357,"24575","Tratamiento abierto de fractura humeral epicondilar, medial o lateral, con o sin fijación interna","1090.48","1090.48"
358,"24576","Tratamiento cerrado de fractura humeral condilar, medial o lateral; sin manipulación","65.83","65.83"
359,"24577","Tratamiento cerrado de fractura humeral condilar, medial o lateral; con manipulación","71.82","71.82"
360,"24579","Tratamiento abierto de fractura humeral condilar, medial o lateral, con o sin fijación interna","1090.48","1090.48"
361,"24582","Fijación esquelética percutánea de fractura humeral condilar, medial o lateral, con manipulación","752.71","752.71"
362,"24586",Tratamiento abierto de fractura periarticular y/o dislocacion del codo (fractura del húmero distal y cúbito proximal y/o radio proximal),"235.11","235.31"
363,"24600",Tratamiento de dislocacion cerrada del codo; sin anestesia,"50.84","50.96"
364,"24615",Tratamiento abierto de dislocacion aguda o cronica del codo,"150.56","150.76"
365,"24620","Tratamiento cerrado de la fractura de Monteggia a nivel del codo (fractura del extremo proximal del cúbito con dislocacion de la cabeza del radio), con manipulacion","47.46","47.48"
367,"24650",Tratamiento cerrado de fractura de cabeza o cuello del radio; sin manipulación,"65.83","65.83"
368,"24655",Tratamiento cerrado de fractura de cabeza o cuello del radio; con manipulación,"71.82","71.82"
369,"24665","Tratamiento abierto de fractura de cabeza o cuello del radio, incluye Fijación interna o Escisión de la cabeza del radio, cuando se realice","151.82","152.04"
366,"24635","Tratamiento abierto de la fractura de monteggia a nivel del codo (fractura del extremo proximal del cúbito con dislocacion de la cabeza del radio), incluye Fijación interna, cuando se realice","150.56","150.76"
